Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,1.81,1.91,1.81,1.90,7200,1.90
2016-03-03,1.83,1.83,1.83,1.83,200,1.83
2016-03-02,2.04,2.04,1.86,1.86,2500,1.86
2016-03-01,1.98,1.98,1.87,1.87,400,1.87
2016-02-29,1.74,1.90,1.74,1.83,500,1.83
2016-02-26,1.82,1.82,1.82,1.82,200,1.82
2016-02-25,1.90,1.90,1.90,1.90,000,1.90
2016-02-24,1.90,1.90,1.90,1.90,2200,1.90
2016-02-23,1.90,1.90,1.88,1.88,500,1.88
2016-02-22,1.92,1.92,1.89,1.90,1800,1.90
2016-02-19,1.90,1.90,1.83,1.83,3500,1.83
2016-02-18,1.76,1.76,1.76,1.76,000,1.76
2016-02-17,1.76,1.76,1.76,1.76,100,1.76
2016-02-16,1.75,1.75,1.72,1.72,2000,1.72
2016-02-12,1.72,1.72,1.72,1.72,000,1.72
2016-02-11,1.72,1.72,1.72,1.72,600,1.72
2016-02-10,1.63,1.63,1.63,1.63,000,1.63
2016-02-09,1.73,1.73,1.63,1.63,1700,1.63
2016-02-08,1.76,1.81,1.75,1.79,1000,1.79
2016-02-05,1.81,1.81,1.81,1.81,400,1.81
2016-02-04,1.77,1.81,1.77,1.81,4400,1.81
2016-02-03,1.85,1.85,1.84,1.85,400,1.85
2016-02-02,1.70,1.80,1.68,1.80,2700,1.80
2016-02-01,1.70,1.71,1.57,1.57,2900,1.57
2016-01-29,1.64,1.80,1.53,1.53,5300,1.53
2016-01-28,1.57,1.57,1.54,1.57,3500,1.57
2016-01-27,1.68,1.68,1.57,1.57,2300,1.57
2016-01-26,1.85,1.89,1.51,1.65,20100,1.65
2016-01-25,1.91,1.98,1.91,1.98,300,1.98
2016-01-22,1.80,1.92,1.80,1.86,6300,1.86
2016-01-21,1.80,1.92,1.80,1.91,1400,1.91
2016-01-20,1.94,2.00,1.93,2.00,4800,2.00
2016-01-19,1.72,2.00,1.72,1.99,2400,1.99
2016-01-15,1.92,1.92,1.92,1.92,000,1.92
2016-01-14,1.57,1.92,1.57,1.92,6800,1.92
2016-01-13,1.65,1.65,1.65,1.65,000,1.65
2016-01-12,1.65,1.65,1.65,1.65,200,1.65
2016-01-11,1.65,1.65,1.53,1.60,6000,1.60
2016-01-08,1.62,1.62,1.62,1.62,1000,1.62
