Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,30.190001,30.32,30.07,30.24,865200,30.24
2017-01-31,30.26,30.389999,30.10,30.27,1049600,30.27
2017-01-30,29.35,29.639999,29.16,29.440001,1815400,29.440001
2017-01-27,30.66,30.92,30.40,30.52,703100,30.52
2017-01-26,30.93,31.200001,30.93,31.120001,946700,31.120001
2017-01-25,30.50,30.82,30.49,30.790001,795500,30.790001
2017-01-24,30.41,30.50,30.35,30.49,490300,30.49
2017-01-23,30.35,30.469999,30.24,30.43,538900,30.43
2017-01-20,30.34,30.540001,30.32,30.50,796800,30.50
2017-01-19,30.50,30.610001,30.35,30.40,825200,30.40
2017-01-18,30.809999,30.83,30.60,30.709999,571700,30.709999
2017-01-17,31.00,31.059999,30.83,30.860001,739900,30.860001
2017-01-13,30.879999,31.08,30.809999,31.02,805300,31.02
2017-01-12,30.790001,30.90,30.610001,30.870001,2038600,30.870001
2017-01-11,30.190001,30.459999,30.129999,30.440001,1217100,30.440001
2017-01-10,29.40,29.65,29.379999,29.530001,839000,29.530001
2017-01-09,28.74,28.950001,28.74,28.82,648700,28.82
2017-01-06,28.57,29.040001,28.530001,28.959999,964800,28.959999
2017-01-05,28.540001,28.790001,28.43,28.719999,1026500,28.719999
2017-01-04,28.48,28.66,28.42,28.58,910500,28.58
2017-01-03,28.10,28.32,28.040001,28.290001,894900,28.290001
2016-12-30,28.00,28.120001,27.91,28.030001,645300,28.030001
2016-12-29,28.18,28.26,28.120001,28.15,431400,28.15
2016-12-28,28.50,28.50,28.27,28.280001,354400,28.280001
2016-12-27,28.299999,28.48,28.290001,28.379999,402400,28.379999
2016-12-23,28.360001,28.49,28.360001,28.459999,326400,28.459999
2016-12-22,28.49,28.57,28.290001,28.35,852200,28.35
2016-12-21,28.549999,28.629999,28.469999,28.49,404600,28.49
2016-12-20,28.709999,28.82,28.65,28.74,356600,28.74
2016-12-19,28.780001,29.00,28.76,28.84,711100,28.84
2016-12-16,28.43,28.530001,28.35,28.440001,869400,28.440001
2016-12-15,28.77,28.98,28.709999,28.860001,765900,28.860001
2016-12-14,29.280001,29.32,28.809999,28.82,876300,28.82
2016-12-13,29.440001,29.73,29.440001,29.58,806200,29.58
2016-12-12,29.24,29.290001,29.07,29.120001,1054700,29.120001
2016-12-09,29.440001,29.559999,29.389999,29.40,895900,29.40
2016-12-08,28.74,29.200001,28.74,29.16,1998000,29.16
2016-12-07,28.25,28.610001,28.15,28.610001,789700,28.610001
2016-12-06,28.09,28.200001,28.07,28.16,656300,28.16
2016-12-05,27.99,28.23,27.98,28.139999,940500,28.139999
2016-12-02,27.870001,28.17,27.719999,28.059999,952600,28.059999
2016-12-01,28.50,28.59,28.120001,28.219999,1456800,28.219999
2016-11-30,29.35,29.35,29.07,29.07,750000,29.07
2016-11-29,29.379999,29.629999,29.299999,29.49,442500,29.49
2016-11-28,29.530001,29.59,29.42,29.57,468000,29.57
2016-11-25,29.51,29.540001,29.41,29.50,316900,29.50
2016-11-23,29.98,30.09,29.879999,30.059999,369300,30.059999
2016-11-22,30.23,30.27,30.030001,30.18,829800,30.18
2016-11-21,29.65,29.780001,29.620001,29.76,563400,29.76
2016-11-18,29.450001,29.459999,29.15,29.18,883700,29.18
2016-11-17,29.59,29.74,29.50,29.700001,700500,29.700001
2016-11-16,29.559999,29.559999,29.290001,29.370001,778700,29.370001
2016-11-15,29.540001,29.709999,29.49,29.610001,814600,29.610001
2016-11-14,30.15,30.209999,29.90,29.99,1026400,29.99
2016-11-11,30.040001,30.17,29.889999,30.110001,1133000,30.110001
2016-11-10,30.17,30.360001,29.719999,29.84,2614700,29.84
2016-11-09,29.92,30.469999,29.780001,30.209999,1157300,30.209999
2016-11-08,30.309999,30.889999,30.290001,30.65,1129900,30.65
2016-11-07,30.34,30.52,30.25,30.40,2213000,30.40
2016-11-04,30.799999,31.10,30.77,30.83,1140900,30.83
2016-11-03,31.52,31.559999,31.34,31.40,983000,31.40
2016-11-02,31.530001,31.68,31.309999,31.370001,1881300,31.370001
2016-11-01,31.58,31.83,30.379999,30.73,2475200,30.73
2016-10-31,31.610001,31.620001,31.120001,31.33,1567900,31.33
2016-10-28,31.469999,31.690001,31.35,31.49,1106700,31.49
2016-10-27,31.74,31.83,31.51,31.530001,747800,31.530001
2016-10-26,31.690001,32.07,31.66,31.84,1380700,31.84
2016-10-25,31.84,31.92,31.73,31.85,832800,31.85
2016-10-24,32.220001,32.290001,32.099998,32.139999,557900,32.139999
2016-10-21,32.07,32.209999,31.99,32.110001,1068900,32.110001
