Date,Open,High,Low,Close,Volume,Open Interest
03/11/2004,84.4,84.72,83.11,84.24,3689000,27856125
04/11/2004,84.76,85.45,83.31,83.78,3845000,28520250
05/11/2004,83.04,85.08,82.6,84.67,4262500,30644625
08/11/2004,85.2,87.24,85.2,86.01,5500000,26651625
09/11/2004,86.04,86.28,84.5,85.09,3053500,25884375
10/11/2004,85.7,86.4,85.56,86.22,2680500,27645750
11/11/2004,86.16,86.76,85.95,86.45,2807500,26680500
12/11/2004,86.4,87,85.8,86.25,888000,26676375
16/11/2004,86.4,88.59,85.86,87.82,4040000,26837250
17/11/2004,88.12,89,87.71,88.62,4134000,25810125
18/11/2004,89,89.32,87.66,88.82,3170500,23331000
19/11/2004,89.4,89.97,86.5,86.81,4543500,18719250
22/11/2004,86.62,86.94,85,86.54,2763500,15782250
23/11/2004,87.2,88.76,86.72,88.3,3458500,11096250
24/11/2004,88.8,91.54,88.33,91.13,4110000,8559375
25/11/2004,91.78,93.82,91.21,93.21,2922500,4995375
29/11/2004,92.39,97.93,92.2,97.17,4930000,20051625
30/11/2004,97.78,97.87,95.81,96.63,4200000,20303250
01/12/2004,97,97.6,94.33,96.08,6535500,19168875
02/12/2004,97.2,99.16,97,98.21,4339000,20299125
03/12/2004,98.56,100.56,98.27,98.78,4395500,20307375
06/12/2004,99.42,100.5,98.42,99.37,4409000,21219000
07/12/2004,99.61,100.76,98.5,99.17,5064000,21450000
08/12/2004,98,99.48,97,97.25,3530000,22572000
09/12/2004,96.8,98.88,95.3,98.6,6387500,27538500
10/12/2004,99,99.14,96.8,97.14,4165500,28454250
13/12/2004,97.4,97.8,95.89,97.1,4053000,32208000
14/12/2004,90.23,98.42,90.23,98.11,3736000,33338250
15/12/2004,98.3,99.93,98.3,99.59,5202500,35701875
16/12/2004,99.77,101.68,99.61,100.55,6358500,34988250
17/12/2004,100.2,100.69,98.13,98.91,4610000,33829125
20/12/2004,99.1,99.22,97.57,99.01,3276000,32637000
21/12/2004,99.6,101.53,99.42,101.16,5790500,33325875
22/12/2004,101.5,102.38,99.6,100.75,6279500,31189125
23/12/2004,101.2,102.8,100.97,102.38,4740500,31061250
24/12/2004,102.97,103.36,101.72,102.73,3370500,29011125
27/12/2004,102.13,102.96,101.6,102.52,2709000,24514875
28/12/2004,103.3,103.74,101.84,102.62,3743500,20431125
29/12/2004,103.06,103.27,101.2,101.89,3360000,13006125
30/12/2004,101.99,102.46,99.24,99.41,3461500,6666000
31/12/2004,100.88,102.29,100.51,102.02,3563000,38449125
03/01/2005,102.4,105.39,102.4,104.92,7704500,41802750
04/01/2005,105.3,105.97,104.02,104.42,4781000,41027250
05/01/2005,104,104.32,95.71,100.59,9314500,38527500
06/01/2005,100.6,101.98,98,98.8,7304000,34934625
07/01/2005,98.4,99.85,97.22,99.14,3929500,35376000
10/01/2005,100,100,94.5,95.14,3266500,35974125
11/01/2005,95,97.14,94.4,95.96,4144500,32451375
12/01/2005,96,99,93.96,94.68,6069500,30574500
13/01/2005,95,98.5,95,97.3,3796000,30289875
14/01/2005,97.69,97.75,95.02,96.06,2931500,29415375
17/01/2005,97,97,92.8,94.78,3859500,28953375
18/01/2005,94.6,95.57,93.45,93.93,4781500,29790750
19/01/2005,94.13,95.08,91.82,92.36,3402500,29654625
20/01/2005,91.8,94.34,90.7,93.88,4007500,25583250
24/01/2005,93.8,94.2,92.29,92.71,2482500,22431750
25/01/2005,91.8,95.92,91.53,95.53,3911000,12655500
27/01/2005,96.08,97.1,95.31,96.2,2855500,5803875
28/01/2005,97,99.11,96.5,98.95,4082500,27484875
31/01/2005,99.2,101.93,98.38,101.33,6618500,31300500
01/02/2005,101.39,101.4,98.4,98.79,5381500,30970500
02/02/2005,98.65,99.75,97.04,97.64,3955500,33994125
