Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,15.47,15.47,15.30,15.35,1400,15.35
2017-01-31,15.31,15.31,15.20,15.21,10300,15.21
2017-01-30,15.15,15.43,15.15,15.42,1600,15.42
2017-01-27,15.03,15.03,15.03,15.03,200,15.03
2017-01-26,15.81,15.83,15.25,15.48,12700,15.48
2017-01-25,15.22,15.57,15.08,15.57,19900,15.57
2017-01-24,15.22,15.22,15.18,15.18,900,15.18
2017-01-23,15.10,15.10,14.99,14.99,1600,14.99
2017-01-20,15.52,15.56,15.26,15.36,7800,15.36
2017-01-19,15.49,15.55,15.29,15.30,18700,15.30
2017-01-18,14.90,15.20,14.88,15.20,33600,15.20
2017-01-17,15.15,15.16,14.88,14.90,5400,14.90
2017-01-13,15.11,15.20,15.10,15.12,7100,15.12
2017-01-12,14.98,15.13,14.90,15.13,3400,15.13
2017-01-11,15.25,15.25,15.00,15.16,3200,15.16
2017-01-10,15.11,15.27,15.05,15.27,57000,15.27
2017-01-09,15.21,15.21,15.11,15.12,1800,15.12
2017-01-06,15.12,15.47,15.07,15.23,800,15.23
2017-01-05,15.42,15.54,15.06,15.06,22500,15.06
2017-01-04,15.61,15.61,15.39,15.46,17300,15.46
2017-01-03,15.60,15.87,15.22,15.56,7800,15.56
2016-12-30,15.71,15.71,15.38,15.44,37700,15.44
2016-12-29,15.89,15.89,15.55,15.55,48900,15.55
2016-12-28,15.92,16.00,15.71,15.80,16200,15.80
2016-12-27,15.89,15.96,15.80,15.96,23100,15.96
2016-12-23,15.70,15.90,15.70,15.87,4800,15.87
2016-12-22,16.059999,16.23,15.83,15.95,38600,15.95
2016-12-21,15.84,15.98,15.62,15.85,34500,15.85
2016-12-20,16.049999,16.049999,15.74,15.94,2200,15.94
2016-12-19,16.08,16.08,15.76,15.90,11600,15.90
2016-12-16,16.200001,16.23,16.00,16.23,7100,16.23
2016-12-15,15.99,16.290001,15.88,16.25,140500,16.25
2016-12-14,15.51,15.88,15.24,15.87,33100,15.87
2016-12-13,15.48,15.69,15.30,15.51,15700,15.51
2016-12-12,15.75,15.85,15.64,15.64,8600,15.64
2016-12-09,15.49,15.70,15.49,15.64,4900,15.64
2016-12-08,15.55,15.60,15.27,15.47,21900,15.47
2016-12-07,15.32,15.40,15.02,15.40,7400,15.40
2016-12-06,15.36,15.42,15.01,15.35,30300,15.35
2016-12-05,15.24,15.52,15.23,15.36,3900,15.36
2016-12-02,15.52,15.60,15.30,15.45,10300,15.45
2016-12-01,15.59,15.89,15.49,15.64,14400,15.64
2016-11-30,15.39,15.49,15.25,15.47,40000,15.47
2016-11-29,15.07,15.30,15.05,15.15,20300,15.15
2016-11-28,15.00,15.49,14.90,15.12,47800,15.12
2016-11-25,15.25,15.50,15.20,15.50,9100,15.50
2016-11-23,15.30,15.50,15.13,15.13,57800,15.13
2016-11-22,15.20,15.26,15.15,15.15,13200,15.15
2016-11-21,15.41,15.41,15.27,15.27,24400,15.27
2016-11-18,15.23,15.44,15.11,15.27,27700,15.27
2016-11-17,14.91,15.23,14.91,15.04,13600,15.04
2016-11-16,15.15,15.15,14.91,14.91,15800,14.91
2016-11-15,14.90,15.03,14.89,14.91,3200,14.91
2016-11-14,15.00,15.05,14.81,15.00,42400,15.00
2016-11-11,14.63,14.81,14.60,14.61,14100,14.61
2016-11-10,14.44,14.56,14.33,14.56,16200,14.56
2016-11-09,14.00,14.51,13.49,14.45,16700,14.45
2016-11-08,13.63,13.90,13.52,13.90,5900,13.90
2016-11-07,13.69,13.69,13.31,13.51,900,13.51
2016-11-04,13.51,13.64,13.32,13.47,16700,13.47
2016-11-03,13.48,13.65,13.48,13.57,6700,13.57
2016-11-02,13.32,13.57,13.32,13.50,10300,13.50
