Date,Open,High,Low,Close,Volume,Adj Close
2017-02-02,19.559999,19.57,19.26,19.459999,583300,19.459999
2017-02-01,19.74,19.950001,19.52,19.610001,771500,19.610001
2017-01-31,19.50,19.719999,19.49,19.58,540000,19.58
2017-01-30,19.41,19.58,19.32,19.57,221900,19.57
2017-01-27,19.67,19.67,19.389999,19.50,317400,19.50
2017-01-26,19.629999,19.76,19.440001,19.629999,299100,19.629999
2017-01-25,19.639999,19.719999,19.549999,19.690001,520200,19.690001
2017-01-24,19.33,19.629999,19.24,19.530001,232700,19.530001
2017-01-23,19.42,19.469999,19.129999,19.290001,357800,19.290001
2017-01-20,19.389999,19.48,19.290001,19.43,351000,19.43
2017-01-19,19.50,19.66,19.33,19.41,815600,19.41
2017-01-18,19.290001,19.639999,19.09,19.59,570200,19.59
2017-01-17,19.34,19.459999,19.17,19.290001,786900,19.290001
2017-01-13,19.24,19.549999,19.030001,19.48,859900,19.48
2017-01-12,19.120001,19.16,18.709999,19.139999,521900,19.139999
2017-01-11,19.07,19.07,18.809999,18.99,326100,18.99
2017-01-10,18.950001,19.049999,18.76,18.98,1062300,18.98
2017-01-09,18.50,18.77,18.360001,18.76,415700,18.76
2017-01-06,18.67,18.76,18.459999,18.459999,333100,18.459999
2017-01-05,18.799999,18.860001,18.469999,18.629999,611000,18.629999
2017-01-04,18.25,19.00,18.25,18.92,615100,18.92
2017-01-03,18.57,18.57,18.00,18.24,606000,18.24
2016-12-30,18.620001,18.620001,18.32,18.40,318400,18.40
2016-12-29,18.40,18.66,18.33,18.549999,337900,18.549999
2016-12-28,18.59,18.76,18.360001,18.42,250000,18.42
2016-12-27,18.559999,18.82,18.559999,18.610001,163300,18.610001
2016-12-23,18.559999,18.74,18.440001,18.60,382800,18.60
2016-12-22,18.85,19.01,18.559999,18.610001,403100,18.610001
2016-12-21,18.870001,19.07,18.77,18.870001,622500,18.870001
2016-12-20,18.950001,19.07,18.73,18.93,242300,18.93
2016-12-19,18.52,19.030001,18.50,18.93,295400,18.93
2016-12-16,18.629999,18.98,18.469999,18.540001,815500,18.540001
2016-12-15,18.549999,18.77,18.35,18.540001,696400,18.540001
2016-12-14,18.799999,19.08,18.450001,18.559999,997200,18.559999
2016-12-13,18.700001,19.15,18.51,18.98,2540700,18.98
2016-12-12,20.209999,20.209999,19.76,19.93,350400,19.81
2016-12-09,20.00,20.290001,19.90,20.27,225700,20.147953
2016-12-08,19.74,19.98,19.49,19.950001,288500,19.82988
2016-12-07,18.90,19.48,18.90,19.43,213800,19.313011
2016-12-06,18.92,19.02,18.610001,18.950001,202700,18.835901
2016-12-05,18.290001,18.950001,18.23,18.92,346200,18.806081
2016-12-02,18.50,18.610001,18.15,18.190001,195800,18.080477
2016-12-01,18.84,19.00,18.389999,18.450001,385100,18.338912
2016-11-30,18.99,19.09,18.77,18.780001,620000,18.666925
2016-11-29,18.719999,18.940001,18.719999,18.91,273600,18.796141
2016-11-28,18.66,18.92,18.629999,18.700001,203000,18.587407
2016-11-25,18.74,18.83,18.620001,18.790001,115700,18.676865
2016-11-23,18.15,18.68,18.15,18.66,220200,18.547646
2016-11-22,18.469999,18.50,18.110001,18.24,239700,18.130175
2016-11-21,18.559999,18.629999,18.26,18.379999,220800,18.269332
2016-11-18,18.540001,18.73,18.42,18.60,249900,18.488008
2016-11-17,18.08,18.610001,18.08,18.530001,306200,18.41843
2016-11-16,17.809999,18.200001,17.809999,18.08,285000,17.971139
2016-11-15,18.030001,18.16,17.65,17.809999,277600,17.702764
2016-11-14,18.299999,18.41,18.02,18.10,388100,17.991019
2016-11-11,17.620001,18.17,17.59,18.10,355500,17.991019
2016-11-10,18.00,18.09,17.440001,17.57,352000,17.464209
2016-11-09,16.860001,17.92,16.77,17.75,537600,17.643126
2016-11-08,17.809999,17.809999,17.00,17.01,901500,16.907582
2016-11-07,17.870001,17.889999,17.719999,17.809999,336300,17.702764
2016-11-04,17.469999,17.74,17.469999,17.52,370200,17.414511
2016-11-03,17.440001,17.719999,17.42,17.48,619400,17.374751
2016-11-02,17.709999,17.73,17.27,17.360001,424700,17.255475
2016-11-01,17.74,18.10,17.41,17.700001,918800,17.593428
2016-10-31,18.00,18.059999,17.620001,17.68,1155700,17.573548
2016-10-28,18.27,18.530001,18.07,18.07,967500,17.961199
2016-10-27,17.639999,19.25,17.389999,19.17,1664900,19.054576
2016-10-26,19.389999,19.610001,19.10,19.129999,460500,19.014816
2016-10-25,19.959999,19.99,19.42,19.459999,350700,19.342829
2016-10-24,19.870001,20.32,19.860001,19.99,525700,19.869638
2016-10-21,19.50,19.959999,19.50,19.75,997000,19.631084
2016-10-20,19.68,19.93,19.629999,19.73,387600,19.611204
2016-10-19,19.879999,19.99,19.67,19.790001,280600,19.670844
2016-10-18,20.15,20.18,19.799999,19.82,273400,19.700662
2016-10-17,19.950001,20.209999,19.85,19.98,221300,19.859698
2016-10-14,20.18,20.32,19.74,19.940001,358600,19.81994
2016-10-13,19.709999,20.25,19.469999,19.959999,284700,19.839818
2016-10-12,20.030001,20.139999,19.889999,19.889999,174600,19.77024
2016-10-11,20.40,20.459999,19.98,20.030001,198900,19.909398
2016-10-10,20.469999,20.84,20.450001,20.469999,138800,20.346748
2016-10-07,20.780001,20.780001,20.209999,20.34,219100,20.217531
2016-10-06,20.790001,21.02,20.629999,20.799999,312400,20.674761
2016-10-05,20.940001,21.049999,20.65,20.780001,350800,20.654883
2016-10-04,21.049999,21.129999,20.799999,20.860001,280100,20.734401
2016-10-03,21.27,21.299999,20.790001,21.049999,523900,20.923255
2016-09-30,21.00,21.41,20.91,21.299999,449600,21.17175
2016-09-29,20.969999,21.129999,20.559999,20.85,303000,20.724461
2016-09-28,20.73,21.059999,20.67,21.040001,342600,20.913317
2016-09-27,20.559999,20.860001,20.440001,20.68,475500,20.555484
2016-09-26,20.299999,20.780001,20.190001,20.57,485200,20.446146
2016-09-23,20.43,20.67,20.43,20.58,332800,20.456086
2016-09-22,20.370001,20.68,20.309999,20.540001,340600,20.416328
2016-09-21,19.50,20.24,19.48,20.23,378700,20.108193
2016-09-20,19.40,19.469999,19.26,19.360001,297500,19.243432
2016-09-19,19.370001,19.530001,19.200001,19.389999,202300,19.273251
2016-09-16,19.469999,19.58,19.120001,19.32,378800,19.203672
2016-09-15,19.42,19.59,19.299999,19.48,230500,19.362709
2016-09-14,19.530001,19.690001,19.360001,19.40,502000,19.283191
2016-09-13,19.65,19.799999,19.43,19.450001,330300,19.332891
2016-09-12,20.01,20.190001,19.84,20.02,524100,19.780181
2016-09-09,20.68,20.700001,20.120001,20.129999,533900,19.888862
2016-09-08,21.07,21.10,20.530001,20.75,567900,20.501436
2016-09-07,20.950001,21.34,20.870001,21.18,1026600,20.926285
2016-09-06,21.360001,21.549999,20.85,20.959999,911300,20.70892
2016-09-02,21.02,21.219999,20.99,21.190001,254500,20.936166
2016-09-01,20.809999,21.09,20.719999,20.92,276000,20.6694
2016-08-31,21.01,21.08,20.629999,20.77,299500,20.521197
2016-08-30,20.90,21.049999,20.82,21.02,174000,20.768202
2016-08-29,21.01,21.120001,20.84,20.959999,224200,20.70892
2016-08-26,21.219999,21.469999,20.940001,21.040001,197200,20.787963
2016-08-25,21.059999,21.280001,21.059999,21.23,187900,20.975686
2016-08-24,21.129999,21.280001,21.08,21.15,216000,20.896644
2016-08-23,21.049999,21.40,21.049999,21.25,215600,20.995447
2016-08-22,20.940001,21.110001,20.65,21.030001,277000,20.778083
2016-08-19,20.85,21.030001,20.799999,20.93,317400,20.67928
2016-08-18,21.219999,21.389999,20.700001,20.870001,499200,20.619999
2016-08-17,20.84,20.99,20.459999,20.969999,259900,20.7188
2016-08-16,20.98,21.00,20.709999,20.83,277400,20.580478
2016-08-15,20.629999,21.290001,20.59,21.02,605500,20.768202
2016-08-12,20.85,20.93,20.450001,20.690001,581600,20.442155
2016-08-11,20.43,21.00,20.43,20.90,634000,20.649639
2016-08-10,20.370001,20.57,20.15,20.370001,372600,20.125989
2016-08-09,19.99,20.41,19.879999,20.33,481600,20.086467
2016-08-08,19.809999,20.23,19.76,19.99,334700,19.75054
2016-08-05,19.67,19.879999,19.610001,19.860001,226300,19.622098
2016-08-04,19.48,19.690001,19.379999,19.65,234100,19.414613
2016-08-03,19.059999,19.559999,18.870001,19.549999,379300,19.31581
