Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,30.139999,30.58,30.139999,30.34,31840300,30.34
2016-03-10,30.17,30.290001,29.790001,29.940001,33136100,29.940001
2016-03-09,30.16,30.200001,29.969999,30.049999,24818300,30.049999
2016-03-08,30.08,30.219999,29.969999,30.059999,30537100,30.059999
2016-03-07,30.26,30.450001,30.129999,30.290001,25783600,30.290001
2016-03-04,30.219999,30.59,30.219999,30.459999,32273700,30.459999
2016-03-03,30.200001,30.40,30.059999,30.219999,28112900,30.219999
2016-03-02,29.780001,30.18,29.76,30.18,37215200,30.18
2016-03-01,29.41,29.969999,29.309999,29.879999,32332700,29.879999
2016-02-29,29.440001,29.549999,29.120001,29.139999,34166400,29.139999
2016-02-26,29.299999,29.559999,29.290001,29.40,29345100,29.40
2016-02-25,28.799999,29.280001,28.780001,29.23,35881300,29.23
2016-02-24,28.90,29.049999,28.40,28.959999,44928500,28.73
2016-02-23,29.209999,29.360001,29.08,29.219999,31151200,28.987935
2016-02-22,29.02,29.49,29.02,29.41,38513100,29.176427
2016-02-19,28.940001,29.129999,28.68,29.02,36065100,28.789525
2016-02-18,29.299999,29.35,28.99,29.08,31054300,28.849048
2016-02-17,29.139999,29.610001,29.120001,29.34,38254800,29.106983
2016-02-16,28.58,29.030001,28.42,28.860001,47218800,28.630796
2016-02-12,27.57,28.26,27.360001,28.26,57645600,28.03556
2016-02-11,27.75,28.030001,27.10,27.450001,80550000,27.231994
2016-02-10,28.370001,28.700001,28.25,28.299999,32492600,28.075242
2016-02-09,27.75,28.540001,27.75,28.280001,37031600,28.055402
2016-02-08,28.219999,28.27,27.76,28.17,48096400,27.946275
2016-02-05,29.15,29.200001,28.299999,28.540001,51984700,28.313337
2016-02-04,28.65,29.459999,28.49,29.18,53998300,28.948254
2016-02-03,28.389999,28.690001,27.870001,28.67,44261600,28.442304
2016-02-02,28.27,28.290001,27.92,28.24,40071800,28.015719
2016-02-01,29.01,29.030001,28.559999,28.639999,43446200,28.412542
2016-01-29,28.459999,29.110001,28.34,29.10,51576200,28.868889
2016-01-28,28.219999,28.35,27.93,28.209999,40069900,27.985956
2016-01-27,28.200001,28.58,27.82,28.00,46116400,27.777625
2016-01-26,28.07,28.540001,28.049999,28.309999,42432900,28.085163
2016-01-25,28.32,28.49,28.00,28.040001,44848800,27.817308
2016-01-22,28.549999,28.559999,27.709999,28.24,87869400,28.015719
2016-01-21,28.129999,28.99,28.129999,28.59,56037600,28.362939
2016-01-20,27.93,28.43,27.48,28.00,88062800,27.777625
2016-01-19,28.719999,28.889999,28.200001,28.49,51986800,28.263733
2016-01-15,28.139999,28.76,28.10,28.49,69424800,28.263733
